"Source:","/home/ben/bwbots-beer-caddy/pcb/bw_beer_caddy/bw_beer_caddy.kicad_sch"
"Date:","Mon 08 Aug 2022 06:29:55 PM EDT"
"Tool:","Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","Part Number","STANDARD"
"","","C1","22 UF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","","1075",""
"","","C2","22 UF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","","1075",""
"","","D1","1N5822","Diode:1N5822","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf","","1077",""
"","","D2","LED","Device:LED","LED_SMD:LED_1206_3216Metric","~","","1078",""
"","","D3","LED","Device:LED","LED_SMD:LED_1206_3216Metric","~","","1078",""
"","","D4","LED","Device:LED","LED_SMD:LED_1206_3216Metric","~","","1078",""
"","","J1","Screw_Terminal_01x06","Connector:Screw_Terminal_01x06","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-6_1x06_P2.54mm_Horizontal","~","","1079",""
"","","J2","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","1083",""
"","","J3","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal","~","","1074",""
"","","J4","Screw_Terminal_01x05","Connector:Screw_Terminal_01x05","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-5_1x05_P2.54mm_Horizontal","~","","1082",""
"","","J5","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","1083",""
"","","J6","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","1083",""
"","","J7","Conn_02x08_Top_Bottom","Connector_Generic:Conn_02x08_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~","","1084",""
"","","J8","Conn_02x04_Top_Bottom","Connector_Generic:Conn_02x04_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~","","1085",""
"","","J9","Screw_Terminal_01x06","Connector:Screw_Terminal_01x06","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-6_1x06_P2.54mm_Horizontal","~","","",""
